Process,Cluster_KMeans,WCS,EDS,CTDS,Processing_Intensity
soften,1,0.32051282051282043,0.35912132522684725,0.3725905184007986,0.3509600443503619
drizzle,2,0.4102564102564102,0.3081594879734275,0.330112529286237,0.34931550637316705
arrange,2,0.4102564102564102,0.30541291830448825,0.33102155507315545,0.3487182071499694
measure,5,0.4102564102564102,0.3038443874244643,0.3317099551384043,0.34843464798174606
fold,2,0.11538461538461536,0.4548573528723536,0.4710453415420689,0.3483352656491032
beat,7,0.11538461538461536,0.46593670531992104,0.45714893391284417,0.34726667336286404
simmer,0,0.30769230769230765,0.35983247674255603,0.3705431382633261,0.3462678458730359
saute,1,0.21794871794871779,0.4083320664964163,0.4101481245504309,0.3461230212140408
mould,3,0.21794871794871779,0.3774204404520656,0.437855015169886,0.34534252743001975
shape,3,0.21794871794871779,0.3802565123792305,0.432464389609588,0.3444456184754829
stirring,0,0.5128205128205128,0.2533621418823253,0.26720757020058983,0.34369084992013715
raise,0,0.29487179487179477,0.3674176821343973,0.36717013970657864,0.3433933749122801
tear,5,0.11538461538461536,0.44666237280185705,0.4632654802491828,0.3429857693862581
pick,5,0.11538461538461536,0.4204724425659341,0.4784921792579485,0.3395201700713838
stand,0,0.21794871794871779,0.3943624424071055,0.400176952410335,0.3381228467369356
scoop,5,0.205128205128205,0.39194940577837034,0.4132199811979632,0.33753040520647737
stuff,6,0.205128205128205,0.36810901939153773,0.42291699169937347,0.3329600612693021
smash,5,0.205128205128205,0.37845691233608747,0.40439732980494225,0.3300781808968969
sort,5,0.11538461538461536,0.3762459529552675,0.49146895404968893,0.32933753192905557
clean,5,0.21794871794871779,0.3646848650809671,0.3968065194226399,0.3271832990034936
prepare,5,0.4102564102564102,0.2499441921891029,0.32117327888336045,0.3270651136273619
squash,5,0.30769230769230765,0.3102063464347915,0.3560836031027844,0.3249749809168894
mash,7,0.11538461538461536,0.42461214133022795,0.4241402766915564,0.32240662379102747
dash,2,0.11538461538461536,0.3940086787733925,0.4492088386366756,0.3208307922086123
crush,7,0.21794871794871779,0.36969026761036927,0.37269675787500745,0.3206377629120013
drain,5,0.21794871794871779,0.3547099275006169,0.3845118935017028,0.3197113967888594
splash,2,0.30769230769230765,0.3025092035361483,0.3432062396360256,0.31805662018163916
glaze,4,0.21794871794871779,0.34569441781283605,0.3822559327244247,0.31596925192761716
break,5,0.21794871794871779,0.3504805753929152,0.3759506616584004,0.31540489176659503
chill,7,0.205128205128205,0.3588990743589866,0.379839959447705,0.31527458844299294
drop,5,0.11538461538461536,0.3885545140381943,0.4321163601498478,0.31321947516047544
test,5,0.10256410256410248,0.3710083921331906,0.45609285960904866,0.3113504955171833
dice,5,0.11538461538461536,0.4033482603721166,0.41155114960001005,0.31110923986372496
lard,5,0.11538461538461536,0.38134213182540866,0.4279047793924652,0.3094074515727461
unwrap,4,0.32051282051282043,0.2992105481454297,0.3081545561685265,0.30928126075452156
slather,4,0.42307692307692296,0.22441752142945715,0.2799731350425051,0.3088640326015572
rub,6,0.012820512820512775,0.4637698914294932,0.44506370925393435,0.30859649454883964
moist,5,0.21794871794871779,0.3127106258553978,0.38596142684269485,0.30634446858187436
scald,0,0.21794871794871779,0.3383430740682216,0.35887292292064565,0.30559308515860956
pat,6,0.012820512820512775,0.4651515793372967,0.4345572691518055,0.305480261923691
steam,5,0.21794871794871779,0.3371436772007461,0.35689158761482187,0.30452363018836254
split,5,0.21794871794871779,0.3198713928550272,0.37053395741162165,0.30346218208518716
pack,5,0.11538461538461536,0.36019050566013355,0.4304667989006429,0.3032985015709857
mound,2,0.21794871794871779,0.32712092029455553,0.3624050502754156,0.3030906977139215
replace,5,0.4102564102564102,0.2298830087555226,0.26306945504281,0.3006896229884933
foil,4,0.11538461538461536,0.3754155902874954,0.401283575315282,0.29840048347899245
roast,4,0.21794871794871779,0.3199973626275099,0.35341153049998264,0.29768212696014923
unfold,3,0.32051282051282043,0.2748951904437402,0.2965163978483527,0.29730021888410496
yield,5,0.21794871794871779,0.272573109318777,0.3961707002110656,0.2965702410700356
smooth,7,0.30769230769230765,0.26327684767049164,0.3076509040705727,0.29302112865371854
press,3,0.205128205128205,0.3400570086396999,0.33073826528873196,0.2923621307415775
puree,7,0.205128205128205,0.31898950940137105,0.34781045681464073,0.29121440111173796
roll,3,0.10256410256410248,0.3692173582572469,0.3974677817857607,0.29082692787820397
sprout,5,0.32051282051282043,0.2454302500248603,0.3049759227343296,0.29045302700710673
serve,2,0.205128205128205,0.2685528084342972,0.37429408114629126,0.28357472206536477
skin,6,0.11538461538461536,0.35443598565496304,0.37580395566207947,0.2828141432681679
whisk,7,0.21794871794871779,0.318359137730827,0.3110607094929039,0.28274223360183715
melt,5,0.11538461538461536,0.35889364681470415,0.3706801371566072,0.2825430731590219
hold,5,0.11538461538461536,0.33740909547227216,0.3791212147277573,0.2783231375902104
check,0,0.205128205128205,0.26711821982063155,0.3491836155453589,0.2745637495185381
wrap,3,0.11538461538461536,0.3438083370901739,0.3606312220864448,0.2741482898260717
boil,0,0.11538461538461536,0.34431078296846596,0.35389604147773623,0.27202413555894717
reserve,5,0.4038461538461538,0.2078904749083894,0.19669887770039352,0.26875070590713307
pull,6,0.10256410256410248,0.3541169616414743,0.3467268743035764,0.2685918884510563
fill,2,0.10256410256410248,0.329273886070206,0.36858738937578195,0.2678262486370877
start,1,0.205128205128205,0.25722616984350344,0.3369988483253902,0.26715655217129647
sprinkle,2,0.5256410256410255,0.1333700996486763,0.14602947485577256,0.26712369279656434
spread,2,0.32051282051282043,0.22640006681397018,0.24438863775882658,0.2635733896558419
move,4,0.11538461538461536,0.3254490296124155,0.346283605055293,0.2632115285678198
minced,5,0.32051282051282043,0.21593505063978724,0.24742677690939097,0.26115290162955346
cream,7,0.21794871794871779,0.25117074556962626,0.31058610479898174,0.2604086985927073
combine,7,0.42307692307692296,0.169349878869264,0.1795839652642116,0.2565593928320737
dump,5,0.11538461538461536,0.3193077571779863,0.3319445791245881,0.2563096398480185
peel,5,0.10256410256410248,0.33265687763115337,0.3288716787970244,0.2554392942554228
coat,2,0.11538461538461536,0.3194274208549004,0.3167498697183575,0.25118292766328176
dip,2,0.012820512820512775,0.3517704889043094,0.38136208634877533,0.24997813992777496
throw,5,0.21794871794871779,0.2470946059854281,0.2825621159263939,0.24953541631324205
fry,1,0.012820512820512775,0.3513187551353445,0.3771156897114166,0.2483852929273146
season,2,0.30769230769230765,0.2133663511540057,0.22033731649102084,0.2468640450262305
zest,7,0.11538461538461536,0.29285053870806466,0.3293780140425415,0.2467061256250485
mince,5,0.21794871794871779,0.24936690479834767,0.2583494159557712,0.2420529569314938
push,5,0.11538461538461536,0.3058251528403644,0.2950568761058595,0.23931856139023555
chop,5,0.11538461538461536,0.3049952457890155,0.2927613805380318,0.23826422357022903
separate,5,0.5128205128205128,0.10095756325846361,0.10489498462417823,0.2382110598782828
butter,5,0.30769230769230765,0.1725566394736764,0.20857909883928205,0.22939904617013063
slice,2,0.21794871794871779,0.2212219734654024,0.2342605611001467,0.22457491894070958
wet,3,0.012820512820512775,0.3169359111430754,0.3402189479320177,0.22449406220487012
sit,0,0.012820512820512775,0.3370390664657128,0.3181134239624547,0.22361222531168906
save,5,0.11538461538461536,0.24586534883399247,0.29686292165519046,0.22014588155490533
wait,1,0.11538461538461536,0.25466704636040405,0.28786197030718685,0.21999011828029996
wok,1,0.012820512820512775,0.32031705642709163,0.31849918386931897,0.21822512036727792
open,5,0.11538461538461536,0.2419203082684025,0.29267387321781546,0.2174197416995532
stew,0,0.11538461538461536,0.23341117118268484,0.27839906746008636,0.20975829250363845
blend,7,0.21794871794871779,0.19921082036189952,0.20362232751788356,0.2068942389985841
touch,5,0.21794871794871779,0.17636056720073834,0.22467711104269605,0.2065122818538372
cool,5,0.10256410256410248,0.25238051921135873,0.2527807895033838,0.20307719361705268
toss,2,0.10256410256410248,0.2588322310734069,0.2455061273705793,0.20273287340637508
cut,6,0.012820512820512775,0.28370141583035524,0.30774100674562244,0.2024841787482981
taste,2,0.205128205128205,0.1553489542054235,0.22133458451971044,0.19421122131679897
rest,5,0.11538461538461536,0.2123070924277447,0.2359923341963397,0.18837565720483432
pre-heat,5,0.5128205128205128,0.02293856387750781,0.02225238513511063,0.1843663062562844
cover,5,0.21794871794871779,0.1644818846589895,0.16977709620101922,0.18392631156888994
stir-fry,1,0.5128205128205128,0.037805260815194086,0.00024318424457192567,0.18178918794293772
pan-fry,1,0.42307692307692296,0.06645993601845168,0.046557478409898434,0.17737670616083911
turn,4,0.11538461538461536,0.20140585334518035,0.2132760251738801,0.17705470323995184
remove,5,0.30769230769230765,0.10501927653809995,0.1059927314897261,0.17223235150254138
dry,5,0.012820512820512775,0.23751423184167153,0.2525752759266714,0.16848605955358908
warm,5,0.11538461538461536,0.1372839095804168,0.19172458769651002,0.14856697305527403
pour,2,0.11538461538461536,0.14023336166457812,0.15508143594903856,0.13708162064890694
note,5,0.11538461538461536,0.06383245132544924,0.22079051748958733,0.13421040796078101
top,2,0.012820512820512775,0.15165981115621097,0.20575068798325957,0.12423374082662711
heat,0,0.11538461538461536,0.11698419351359868,0.1122202016542233,0.11483657549884656
cook,1,0.10256410256410248,0.10373782181926472,0.10675631684722975,0.1043767827745693
place,2,0.21794871794871779,0.03842142912783364,0.03178482713141084,0.09540898975994165
stir,0,0.11538461538461536,0.06445333327327019,0.05726331739655266,0.07881605097193015
take,5,0.11538461538461536,0.03344517015224424,0.062121472340458506,0.07023512982291957
put,5,0.012820512820512775,0.027606011673781072,0.02070221234193259,0.02037950527937405
mix,7,0.012820512820512775,0.01938260802873748,0.02323691060452704,0.018527579485791777
set,5,0.012820512820512775,0.026688725516126888,0.0,0.01303804865109109
add,5,0.0,0.0,0.002981316635081832,0.001013647655927823
