Process,Embedding,KMeans,Agglo_or_MBK,DBSCAN,GMM
crockpot,"[-0.12446308135986328, -0.15181688964366913, -0.49515432119369507, 0.13732938468456268, 0.6248428225517273, -0.18387852609157562, -0.176179438829422, -0.07108087092638016, -0.10179442912340164, -0.005939728580415249, 0.5179158449172974, 0.08536987751722336, 0.6935495734214783, 0.6974754929542542, 0.16437871754169464, 0.17509591579437256, -0.34572622179985046, 0.034276083111763, -0.22074012458324432, -0.014720720238983631, 0.1996695101261139, 0.19605378806591034, -0.4830547571182251, -0.3535476326942444, -0.011094769462943077, 0.2819604277610779, -0.2693285346031189, -0.29430925846099854, -0.064023457467556, 0.008993281982839108, 0.31866851449012756, -0.1001814678311348, -0.272840678691864, -0.07911352813243866, -0.41818010807037354, 0.19881339371204376, 0.6540665030479431, 0.16904404759407043, 0.09748479723930359, -0.5072999596595764, 0.06168400123715401, -0.3877004086971283, -0.16573601961135864, -0.12143536657094955, 0.3939480185508728, 0.5201733708381653, 0.020231235772371292, 0.6304779052734375, 0.09880712628364563, -0.2568587064743042, 0.8036943674087524, 0.18825408816337585, -0.023571228608489037, -0.5885282158851624, -0.4369273781776428, 0.11945812404155731, 0.24325856566429138, -0.08669380843639374, -0.1950913518667221, -0.15576006472110748, -0.02742980606853962, 0.19200412929058075, 0.002009612275287509, 0.0087565453723073, -1.3163552284240723, 0.6410495638847351, 0.3329445719718933, 0.4912659525871277, 0.021604228764772415, -0.4785791337490082, 0.06172572076320648, 0.3212145268917084, -0.06283479183912277, 0.05615682154893875, 0.11616695672273636, 0.08493757992982864, 0.8885082006454468, 0.12736937403678894, -0.512893557548523, 0.47323763370513916, -0.46443936228752136, 0.02945563569664955, -0.22783957421779633, 0.6090927720069885, -0.29218921065330505, -0.197112038731575, -0.025685885921120644, -0.16165438294410706, 0.30799734592437744, -0.547412097454071, -0.13041959702968597, 0.07813531160354614, 0.24280397593975067, 0.5549779534339905, -0.31878551840782166, -0.30152902007102966, 0.7998099327087402, 0.3716363310813904, 0.032862208783626556, -0.18397991359233856]",5,7,-1,5
crumble,"[0.2262827754020691, 0.0923430547118187, -1.0008485317230225, 0.25485268235206604, 0.1219475120306015, -0.3496467173099518, -0.31786051392555237, 0.6586235165596008, 0.1794947385787964, -0.017968924716114998, -0.26384785771369934, 0.845648467540741, -0.0242159366607666, 0.297491192817688, 0.6102854609489441, -0.11480565369129181, -0.25372183322906494, -0.25921881198883057, 0.050483617931604385, 0.03214814513921738, 0.14576518535614014, 0.5212656259536743, 0.6572358012199402, 0.41093191504478455, -0.216410830616951, 0.3042406439781189, -0.07700211554765701, 0.10630685091018677, 0.6664537787437439, 0.46728959679603577, -0.12180516868829727, 0.15027302503585815, 0.027138367295265198, -0.050605956465005875, 0.0655200332403183, -0.26223912835121155, 0.17108020186424255, 0.18694472312927246, 0.2297229915857315, 0.24543149769306183, -0.1677246391773224, -0.2338927537202835, 0.07074388116598129, 0.40282201766967773, -0.34671273827552795, 0.10083333402872086, -0.012391576543450356, -0.15836596488952637, 0.4566645920276642, -0.38243529200553894, -0.05553136020898819, -0.14514729380607605, -0.09747645258903503, 0.09475383907556534, 0.2297264188528061, 0.128278911113739, 0.4516715705394745, 0.06702904403209686, -0.6413237452507019, -0.3447401821613312, 0.849715530872345, -0.11832412332296371, 0.20025883615016937, 0.29347509145736694, 0.07312078028917313, 0.6288777589797974, 0.048395249992609024, -0.5526166558265686, 0.04021840542554855, 0.2716487944126129, -0.3976593613624573, -0.05447881296277046, 0.36841556429862976, 0.1729746013879776, 0.3758591115474701, -0.2285994589328766, 0.7454773187637329, -0.11613991856575012, -0.02712811902165413, 0.036488015204668045, 0.14577466249465942, 0.5896715521812439, -0.7162509560585022, 0.03784722462296486, 0.3886573016643524, 0.01578531414270401, -0.26159295439720154, 0.07556560635566711, 0.47020527720451355, -0.1116621121764183, 0.16704398393630981, 0.04836946725845337, 0.3077470362186432, -0.2767970860004425, 0.24736423790454865, -0.2995036244392395, 0.5724496245384216, -0.24106517434120178, -0.10787079483270645, 0.20276544988155365]",5,1,-1,5
crush,"[-0.14821462333202362, 0.27361980080604553, -0.6941949129104614, 0.2629418969154358, -0.3179928958415985, -0.35495224595069885, -0.3645249903202057, -0.25299081206321716, 0.4789063036441803, -0.41794100403785706, -0.008869830518960953, 0.1665206253528595, -0.020647577941417694, 0.6521024107933044, 0.04680286720395088, -0.05710236355662346, -0.02343517728149891, -0.5109784603118896, -0.13796040415763855, -0.7906031608581543, 0.3233566880226135, 0.6000216603279114, 0.10238536447286606, 0.17676971852779388, 0.25138235092163086, 0.2769051790237427, 0.5448912978172302, 0.27410244941711426, 0.4279192388057709, -0.2831212282180786, 0.22705817222595215, -0.32006198167800903, 0.02429761178791523, 0.5751516819000244, 0.025852225720882416, -0.28015437722206116, -0.08643543720245361, -0.0017263395711779594, 0.536202609539032, 0.4229879081249237, 0.21900920569896698, -0.10350130498409271, -0.2490561157464981, 0.13946492969989777, -0.08626610785722733, -0.3478142023086548, -0.04361184686422348, -0.20031805336475372, -0.21008890867233276, 0.0596281997859478, -0.06924109160900116, -0.4913233816623688, -0.059508610516786575, -0.08777432888746262, 0.34277522563934326, 0.05069703236222267, 0.0816618949174881, 0.11382818222045898, -0.005263952072709799, -0.31827712059020996, 0.24352489411830902, 0.29232296347618103, 0.44134145975112915, -0.47777852416038513, -0.44375476241111755, -0.06450323015451431, 0.07415241748094559, -0.5868410468101501, -0.018593885004520416, 0.35601121187210083, -0.20996184647083282, 0.01216229610145092, 0.26594439148902893, 0.21143896877765656, 0.20505528151988983, -0.5163687467575073, 0.25826457142829895, 0.0556248240172863, -0.4603177309036255, 0.08072517067193985, -0.08463865518569946, 0.25107133388519287, -0.30108967423439026, -0.3289358615875244, 0.206506609916687, 0.16341854631900787, -0.2788375914096832, 0.5034683346748352, 0.28825369477272034, -0.49882373213768005, -0.14434409141540527, 0.28597500920295715, 0.28836020827293396, 0.08162305504083633, 0.18046781420707703, 0.19665315747261047, 0.6442939639091492, -0.3232173025608063, 0.08458014577627182, 0.02804800495505333]",7,1,-1,7
curdle,"[-0.48014283180236816, 0.7204204797744751, -0.07721705734729767, 0.7557867765426636, 0.16574428975582123, -0.35756051540374756, 0.053245943039655685, 0.6371196508407593, -0.24719390273094177, 0.4141525626182556, -0.411215603351593, -0.39703208208084106, 0.16823925077915192, 0.02842007949948311, -0.059753693640232086, 0.20951801538467407, -0.7507745623588562, -0.46198520064353943, 0.15012462437152863, -0.7258762717247009, -0.13728636503219604, 0.21926258504390717, 0.11702963709831238, -0.05573432147502899, 0.38055774569511414, -0.3503227233886719, -0.4034331440925598, 0.13373076915740967, -0.21728217601776123, -0.06012008711695671, -0.09934575855731964, -0.3727400600910187, 0.7605887055397034, -0.5598636865615845, 0.4021253287792206, 0.38867056369781494, 0.317641019821167, -0.0023337549064308405, -0.6485751271247864, -0.47161293029785156, -0.28324389457702637, 0.42151689529418945, 0.19614477455615997, 0.2579501271247864, -0.43161460757255554, 0.7127004861831665, -0.705538809299469, 0.054932594299316406, -0.27598175406455994, 0.37672457098960876, 0.5496794581413269, -0.051685020327568054, 0.3936690390110016, 0.44213351607322693, 0.207092747092247, 0.3078550100326538, -0.33959251642227173, -0.22809097170829773, -0.08099650591611862, -0.2554250955581665, 0.2879709303379059, 0.2176455408334732, -0.09032697975635529, 0.2669578790664673, -0.030285857617855072, -0.03638380393385887, 0.4984860122203827, 0.46121010184288025, -0.0935872420668602, 0.2932848334312439, -0.21621978282928467, -0.5510484576225281, 0.2184060961008072, -0.271996408700943, -0.01658739522099495, -0.9798179268836975, 0.6872563362121582, 0.24852266907691956, 0.4921097159385681, 0.5222866535186768, 0.2539881467819214, 0.07715706527233124, -0.672214686870575, -0.30977123975753784, -0.4357636272907257, 0.12017177045345306, 0.20134402811527252, 0.2456672340631485, 0.09997452795505524, -0.41422411799430847, 0.03502548485994339, 0.2896822392940521, -0.6271274089813232, 0.03244680166244507, -0.04615147411823273, 0.47782275080680847, -0.031185796484351158, -0.09651872515678406, 0.2854577302932739, -0.3708150386810303]",0,0,-1,0
cut,"[0.35821929574012756, -0.21034498512744904, -0.8472237586975098, -0.0761805921792984, -0.010751163586974144, -0.5526067614555359, 0.3935721814632416, 0.13880343735218048, -0.1374771147966385, -0.6007527709007263, -0.5808705687522888, -0.09599883109331131, -0.20039336383342743, 0.07241673767566681, 0.012653641402721405, 0.07626824080944061, 0.4780673384666443, -0.05931253358721733, 0.33062997460365295, -0.36689212918281555, -0.1499146819114685, 0.248611181974411, 0.6170968413352966, -0.22957800328731537, -0.08854598551988602, 0.16588355600833893, 0.08241523802280426, -0.06968273967504501, -0.30020931363105774, -0.0561804361641407, 0.3250199556350708, -0.08017076551914215, 0.08839709311723709, 0.2755356729030609, -0.13550744950771332, -0.42210179567337036, -0.36051255464553833, 0.47702810168266296, -0.06734049320220947, 0.18164896965026855, 0.2174064666032791, -0.10924945771694183, -0.13255035877227783, 0.21205736696720123, 0.362786203622818, 0.009065801277756691, 0.0953192263841629, -0.24331510066986084, -0.12775132060050964, 0.299419641494751, 0.06778884679079056, -0.27030912041664124, -0.3164890706539154, 0.2815737724304199, -0.5556291341781616, 0.05832359939813614, 0.12026020139455795, -0.11519278585910797, -0.5754711627960205, -0.11316592246294022, -0.22054699063301086, 0.5022692680358887, -0.12641124427318573, 0.33253225684165955, -0.5262157320976257, 0.5269953608512878, -0.03281256556510925, -0.2913331091403961, -0.14119665324687958, 0.17344819009304047, 0.18626978993415833, 0.12117030471563339, 0.26595041155815125, 0.4194546043872833, -0.030440067872405052, -0.118083156645298, -0.23836591839790344, -0.012524832040071487, -0.03640393540263176, 0.09333893656730652, -0.33477047085762024, 0.4075835943222046, -0.40264207124710083, -0.02830166183412075, 0.35253921151161194, 0.02351926639676094, -0.014449323527514935, 0.28243353962898254, 0.4501548111438751, 0.18830661475658417, -0.0001771859242580831, 0.2295687198638916, 0.37851640582084656, 0.30592986941337585, -0.31801700592041016, 0.10894642025232315, 0.26432910561561584, 0.10382656753063202, -0.17416976392269135, 0.1778947412967682]",6,1,-1,6
dash,"[-0.04427092894911766, 0.47401943802833557, -0.0035950099118053913, 0.7649132609367371, -0.03686465695500374, -0.13539408147335052, 0.05848716199398041, 0.04972778260707855, -0.1627812683582306, 0.1921008825302124, 0.15278670191764832, -0.289223849773407, 0.23872314393520355, 0.3525274395942688, 0.1274413764476776, 0.7247647643089294, -0.018254399299621582, -0.09376353025436401, -0.004840910900384188, -0.9173892736434937, 0.8860697150230408, 0.8913291096687317, -0.06020773947238922, 0.70860356092453, 0.10699747502803802, 0.23773691058158875, -0.41194862127304077, -0.29366403818130493, -0.3131677210330963, 0.3914354741573334, -0.5128269195556641, -0.015289105474948883, -0.1251959651708603, 0.022713985294103622, -0.20701472461223602, 0.09006380289793015, 0.09699410200119019, -0.0008052822668105364, 0.35584473609924316, -0.11900826543569565, -0.05432463064789772, -0.0033827635925263166, -0.04949625954031944, -0.47858157753944397, -0.1098599061369896, 0.43636563420295715, 0.03191903233528137, -0.6151770353317261, -0.1524607241153717, 0.09179755300283432, 0.22628644108772278, -0.1765548288822174, 0.178115114569664, 0.27261194586753845, 0.06919553130865097, 0.40287986397743225, -0.12050589174032211, 0.6406569480895996, 0.1620679348707199, -0.2332642525434494, 0.19926787912845612, -0.179742693901062, 0.2088811844587326, -0.4168141782283783, -0.3809951841831207, 0.19077415764331818, -0.06574562191963196, -0.24130910634994507, -0.16827431321144104, 0.6262160539627075, 0.2952485978603363, 0.1339057832956314, 0.20731313526630402, -0.21402393281459808, -0.23686805367469788, -0.2331453561782837, 0.2425622045993805, 0.2741936147212982, -0.1288614273071289, 0.07485457509756088, 0.0204747524112463, 0.1720079928636551, -0.41361334919929504, -0.05950608476996422, 0.10535922646522522, 0.010181101970374584, -0.09603150933980942, 0.037112437188625336, -0.15144777297973633, -0.4769488275051117, -0.010650397278368473, -0.10680803656578064, -0.1775180846452713, -0.2086648941040039, -0.24432045221328735, 0.09120211750268936, -0.06573976576328278, 0.7763432860374451, -0.3857229948043823, -0.09795894473791122]",2,2,-1,2
decorate,"[0.30111587047576904, 0.260855108499527, -0.10634320974349976, 0.16746573150157928, -0.26881083846092224, 0.2710828483104706, 0.14688457548618317, -0.004809537436813116, 0.4246751368045807, -0.16005577147006989, -0.3770051598548889, 0.3042019307613373, -0.010700519196689129, 0.1124008446931839, 0.5085647106170654, 0.005838645156472921, 0.5228438377380371, 0.004133815411478281, 0.07138456404209137, -0.7001614570617676, 0.46290794014930725, 0.33173996210098267, -0.19304253160953522, 0.1592763066291809, 0.9697588086128235, 0.23901943862438202, -0.2133682370185852, 0.021708430722355843, 0.4818522334098816, -0.14092014729976654, 0.06333064287900925, 0.6895464658737183, 0.46358412504196167, 0.42500290274620056, 0.1620328277349472, 0.07032225281000137, -0.3726561367511749, -0.4074661433696747, 0.2757927179336548, -0.41759616136550903, -0.12332097440958023, 0.20186889171600342, -0.20085349678993225, -0.0765618160367012, 0.20309261977672577, -0.34471723437309265, -0.12398788332939148, -0.10992030799388885, 0.05770404636859894, 0.3885638415813446, 0.07656469196081161, -0.3343298137187958, -0.2917957305908203, 0.2737770974636078, -0.06862695515155792, 0.36353904008865356, -0.795741617679596, 0.46339455246925354, -0.682077169418335, -0.2632775902748108, 0.22325336933135986, 0.13519470393657684, 0.3758505880832672, -0.003948773257434368, -0.17855192720890045, 0.19499966502189636, -0.1526648849248886, -0.4434419274330139, 0.07601934671401978, 0.3370800018310547, -0.6111934781074524, 0.5007134675979614, 0.6558380126953125, -0.5832012891769409, 0.2754349112510681, 0.07098309695720673, 0.18634139001369476, -0.11831183731555939, 0.006139416713267565, 0.21836212277412415, -0.003110215999186039, 0.09912380576133728, -0.06242264434695244, 0.3340792953968048, 0.2996522784233093, -0.01927192509174347, 0.793876588344574, 0.5693022012710571, -0.04488321766257286, 0.06935850530862808, 0.18365928530693054, 0.1323261260986328, 0.3777589499950409, 0.38773685693740845, -0.04525941237807274, -0.036093778908252716, 0.20118586719036102, 0.284029483795166, -0.25768354535102844, 0.513163149356842]",2,5,-1,2
deflate,"[0.06959903985261917, 0.17481623589992523, -0.05960545688867569, 0.5661025047302246, -0.362259179353714, -0.34478479623794556, 0.01709679700434208, -0.14366693794727325, 0.24692505598068237, 0.30620577931404114, -0.5419327616691589, -0.6217408776283264, 0.24174337089061737, -0.19720123708248138, 0.22499658167362213, -0.564723551273346, 0.16140860319137573, 0.17077051103115082, -0.2135363221168518, -0.39462125301361084, -0.6100777387619019, -0.1772570013999939, 0.3812045753002167, -0.7766339778900146, 0.2628125548362732, 0.2609420418739319, -0.2760545015335083, 0.06887238472700119, -0.14969795942306519, -0.1821785569190979, 0.8384102582931519, -0.23631489276885986, 0.20918452739715576, -0.0674818903207779, -0.2984774112701416, 0.2240244746208191, 0.4214382767677307, 1.0381882190704346, 0.3220933675765991, -0.4432574212551117, -0.2991254925727844, -1.1995556354522705, 0.2413230836391449, -0.0027724551036953926, -0.3598066568374634, 0.5048808455467224, 0.17600083351135254, 0.1367272436618805, -0.02109038457274437, 0.01937555894255638, -0.208661288022995, -0.2263978123664856, 0.8616122007369995, 0.23757122457027435, 0.046406637877225876, 0.6051245331764221, 0.2512056231498718, 0.42940664291381836, -0.06990928202867508, 0.31867584586143494, 0.4592595398426056, -0.2143898606300354, -0.1526913195848465, 1.0012747049331665, -0.29258134961128235, -0.23399610817432404, 0.19674517214298248, 0.5483688712120056, -1.388450026512146, 0.2699945271015167, -0.2737279534339905, 0.01893397979438305, 0.5924865007400513, -0.07975517958402634, 0.6662411093711853, -0.4419662058353424, -0.15553459525108337, 0.15002545714378357, 0.2770765423774719, 0.9373700022697449, 0.34348881244659424, -0.6495079398155212, -0.7727320194244385, 0.3288727402687073, 0.11797565966844559, 0.2343217134475708, 0.5389065146446228, 1.181349277496338, 0.19279509782791138, -0.0563514269888401, -0.5217911005020142, -0.3782447278499603, 0.010440560057759285, 0.5327681303024292, 0.9613961577415466, 0.03470095619559288, 0.13340267539024353, -0.1972237229347229, -0.5152657628059387, -0.7303439974784851]",3,4,-1,3
defrost,"[-0.2374332994222641, 0.5075786113739014, -1.007664442062378, -0.25915616750717163, 0.24889570474624634, -0.7719812393188477, 0.16673733294010162, 0.4951471984386444, -0.24962955713272095, 0.08112546801567078, 0.31665071845054626, -0.31502532958984375, -0.1355409026145935, 0.5481581687927246, 0.6723105907440186, -0.3454243838787079, 0.22056713700294495, -0.47266751527786255, -0.41463667154312134, -0.335525244474411, -0.13188694417476654, 0.16341061890125275, 0.04516252130270004, -0.8127986192703247, 0.04003207013010979, 0.10724867880344391, 0.006010752171278, 0.05871584638953209, -0.10743129998445511, 0.25959911942481995, 0.27155807614326477, -0.8225634694099426, 0.5802727341651917, -0.2601269483566284, -0.31325098872184753, -0.11883757263422012, -0.029380591586232185, 0.052623450756073, -0.385926216840744, 6.824091542512178e-05, 0.30889904499053955, 0.17807134985923767, -0.46902570128440857, 0.246450275182724, 0.49264422059059143, 0.1285182386636734, -0.6156835556030273, 0.4590081572532654, -0.2974168360233307, 0.40107613801956177, -0.09396319836378098, -0.6645597815513611, 0.1583315134048462, 0.3208009898662567, 0.6531249284744263, 0.047614991664886475, -0.08961896598339081, -0.43835118412971497, 0.005808598827570677, 0.11094938963651657, 0.3178684115409851, 0.09799288958311081, -0.2250325232744217, 0.4572295844554901, -0.5584951043128967, 0.5654804110527039, -0.012528810650110245, 0.07446422427892685, -0.16033202409744263, 0.27708935737609863, 0.07238677889108658, 0.25762781500816345, 0.13918398320674896, 0.5295861959457397, 0.04812498018145561, 0.13848061859607697, -0.5715383291244507, -0.025961073115468025, -0.24788686633110046, 0.1528862714767456, 0.15942957997322083, -0.24585936963558197, -0.6639183163642883, 0.29658079147338867, 0.1758270561695099, -0.16032186150550842, -0.3241443336009979, 0.1040990948677063, 0.2093358039855957, -0.09101024270057678, -0.26211580634117126, 0.7744225263595581, -0.3607012927532196, 0.040909409523010254, -0.3858143985271454, -0.030663926154375076, 0.31517699360847473, -0.20602767169475555, -0.4066559374332428, 0.40660226345062256]",5,7,-1,5
deglaze,"[-0.157221719622612, 0.39280563592910767, -0.4294741153717041, 0.05582364648580551, 0.3745265603065491, -0.4246654510498047, 0.25042080879211426, 0.013732820749282837, -0.003033481305465102, -0.02370212785899639, 0.17723052203655243, 0.5081824660301208, -0.19445085525512695, 0.4148789048194885, -0.25560155510902405, 0.45267775654792786, 0.5017846822738647, -0.33620044589042664, 0.30753058195114136, -0.5513465404510498, 0.31380733847618103, 0.1295161098241806, -0.7917801141738892, 0.28556668758392334, -0.3057377338409424, 0.34091106057167053, -0.3393239974975586, 0.08467306941747665, -0.4622664749622345, 0.8632864356040955, 0.04339396208524704, -0.666984498500824, -0.054448746144771576, 0.3558694124221802, 0.07489151507616043, 0.28306493163108826, -0.11918824911117554, 0.3737097978591919, 0.15137284994125366, -0.8422787189483643, -0.6164928674697876, 0.01326099131256342, 0.48936226963996887, -0.2998707592487335, -0.696391224861145, 0.22097574174404144, 0.41251829266548157, -0.46042320132255554, -0.15883144736289978, 0.1518666297197342, 0.6846622228622437, -0.12192828953266144, -0.08522944152355194, 0.06178389489650726, -0.5020681023597717, 0.29844048619270325, 0.05723389610648155, 0.3558603525161743, -0.027127966284751892, -0.20582976937294006, 0.2917906641960144, -0.5467373728752136, 0.20547237992286682, 0.022242655977606773, -0.516451358795166, -0.23854443430900574, 0.16757331788539886, -0.25720474123954773, -0.5318145751953125, 0.23714350163936615, -0.8450107574462891, -0.2392754703760147, 0.7661828398704529, -0.4189606010913849, 0.0031003199983388186, -0.09433061629533768, 0.12107154726982117, -0.36514776945114136, 0.045042019337415695, 0.15363219380378723, 0.07937569916248322, 0.29913222789764404, -0.26434531807899475, -0.25020474195480347, 0.30016472935676575, -0.22922484576702118, 0.2440769523382187, -0.25895968079566956, -0.039112355560064316, 0.20849421620368958, -0.09890512377023697, 0.12472810596227646, -0.673841118812561, -0.03463398665189743, 0.21430781483650208, -0.4877634048461914, 0.6056810021400452, 0.19406448304653168, 0.5446839332580566, -0.07498573511838913]",0,0,-1,0
devein,"[-0.8359578251838684, -0.06585197895765305, -0.6063655614852905, 0.31286653876304626, 0.1004224568605423, -0.1730268895626068, -0.2521301507949829, -0.47852152585983276, -0.028805261477828026, -0.06555746495723724, 0.18399104475975037, -0.10165152698755264, 0.007078756578266621, 0.8187477588653564, -0.06920468062162399, 0.004968656692653894, 0.5658606886863708, -0.7949573993682861, -0.2711612582206726, -0.5323023200035095, -0.358991414308548, 0.38610416650772095, 0.23208263516426086, 0.19843997061252594, 0.19441749155521393, 0.5052227973937988, -0.33690279722213745, 0.1198660358786583, -0.5645384192466736, -0.44400790333747864, -0.6605587601661682, -0.09908515959978104, 0.9378479719161987, 0.2620549201965332, 0.22780002653598785, -0.1600494533777237, -0.40821775794029236, -0.19558948278427124, -0.4598047733306885, -0.07730229198932648, 0.8676154017448425, -0.1513306051492691, -0.8523608446121216, 0.4352157711982727, 0.06768014281988144, 0.3402622938156128, -0.23160530626773834, 0.1761186271905899, -0.325956791639328, 0.03586069494485855, 0.480093777179718, -0.4663867950439453, 0.8889944553375244, 0.4257652163505554, 0.2570829689502716, 0.4493683874607086, 0.5242841839790344, -0.30293938517570496, -0.8091509342193604, -0.04467187821865082, 0.5519006848335266, 0.26336774230003357, 0.40369942784309387, -0.06820134818553925, -0.2859230637550354, 0.054510146379470825, 0.18174830079078674, -0.4509621560573578, -0.42823848128318787, 1.1827640533447266, 0.20231105387210846, 0.14954976737499237, 0.6623275279998779, 0.7653949856758118, 0.1552303582429886, -0.11173159629106522, -0.11134931445121765, -0.4387173354625702, -0.4979664087295532, -0.147420272231102, -0.18056951463222504, 0.7316102385520935, -0.12092325836420059, -0.3057396709918976, -0.30952364206314087, 0.30479031801223755, -0.19382627308368683, 1.2703533172607422, 0.012781190685927868, 0.20079471170902252, -0.24372969567775726, 0.36056241393089294, 0.0010539896320551634, 0.8291484117507935, -0.22757820785045624, -0.49839168787002563, -0.09882041066884995, -0.2834571599960327, -0.05833812430500984, -0.31576165556907654]",6,1,-1,6
dice,"[-0.2656119167804718, -0.034019265323877335, -1.0401732921600342, 0.43405815958976746, -0.0472797229886055, -0.278210312128067, -0.08276096731424332, -0.12107245624065399, -0.10149199515581131, -0.39282259345054626, -0.17968076467514038, 0.09618022292852402, 0.05657734349370003, 0.640348494052887, -0.020870929583907127, 0.14791543781757355, 0.4438231587409973, -0.11984502524137497, 0.07199903577566147, 0.08608654886484146, -0.05310015380382538, 0.2928609251976013, 0.7535168528556824, 0.05939853936433792, 0.15128444135189056, 0.009963692165911198, 0.15278837084770203, 0.0977906808257103, -0.6498924493789673, -0.02960720658302307, 0.4098432660102844, -0.3445051908493042, 0.11967864632606506, -0.08974063396453857, 0.11317828297615051, -0.39886754751205444, -0.03858483210206032, 0.3360692858695984, -0.18287710845470428, -0.030202649533748627, 0.10328514873981476, -0.002787710167467594, 0.032286692410707474, -0.10989269614219666, 0.03996359929442406, 0.39267027378082275, 0.19855931401252747, 0.01583424024283886, 0.17699357867240906, -0.05414574593305588, 0.22723020613193512, -0.05275861918926239, -0.07854205369949341, 0.4812309741973877, -0.13566003739833832, 0.5182348489761353, 0.39161691069602966, -0.30277732014656067, -0.5966594815254211, -0.15417690575122833, 0.3463955819606781, 0.5248833298683167, 0.2815120220184326, 0.15003588795661926, -0.5772781372070312, 0.5972709655761719, 0.3139050304889679, -0.46890220046043396, -0.14941807091236115, 0.06319723278284073, 0.3827156722545624, 0.010832628235220909, 0.35831955075263977, -0.03584546223282814, 0.43309032917022705, -0.22619092464447021, -0.21333113312721252, -0.1743159294128418, -0.428556352853775, 0.2212434858083725, -0.3873140811920166, 0.6331466436386108, -0.3119943141937256, -0.4077264070510864, 0.591837465763092, 0.09574200212955475, -0.05592811107635498, 0.1896722912788391, 0.6114574074745178, 0.22458268702030182, -0.31786608695983887, 0.13412564992904663, 0.3461795151233673, 0.28207075595855713, -0.22449342906475067, 0.4604894518852234, 0.5093439221382141, -0.055262964218854904, 0.03371259570121765, 0.22023816406726837]",5,1,-1,5
dip,"[-0.17551907896995544, -0.10807382315397263, -0.08829458802938461, 0.592061460018158, -0.041026532649993896, -0.28657639026641846, 0.3659851551055908, 0.28426024317741394, 0.02880183607339859, 0.23674994707107544, -0.3188024163246155, -0.5647810697555542, -0.1857689768075943, -0.14843791723251343, -0.0009960595052689314, 0.46611952781677246, 0.16843993961811066, 0.2303832769393921, -0.32068246603012085, -0.6677742600440979, 0.1567401885986328, 0.3061801791191101, 0.2227584719657898, 0.38889023661613464, -0.029917627573013306, -0.17742197215557098, -0.36868759989738464, 0.005258241668343544, 0.3592436909675598, -0.008503188379108906, -0.08392472565174103, 0.105872742831707, 1.0949465036392212, -0.22789791226387024, -0.13889318704605103, -0.23845700919628143, 0.0020502188708633184, 0.5858073830604553, -0.05290912464261055, -0.15692700445652008, 0.08989699184894562, -0.1473231166601181, -0.40977948904037476, -0.3142718970775604, 0.31238853931427, -0.0739528089761734, 0.0008836625493131578, -0.2562852203845978, 0.15185633301734924, -0.009241561405360699, -0.4203914999961853, -0.013340759091079235, 0.017535613849759102, 0.17236565053462982, -0.12567353248596191, -0.3537997901439667, -0.018100272864103317, -0.18647868931293488, -0.04476894810795784, -0.095232754945755, 0.026081236079335213, 0.06601889431476593, 0.043657757341861725, -0.05035990849137306, 0.01797880232334137, 0.005887175910174847, 0.2583657503128052, -0.4768606424331665, 0.060931142419576645, 0.3897475004196167, -0.06055045500397682, 0.12249287217855453, 0.47263264656066895, 0.20980636775493622, -0.3542931377887726, -0.30705636739730835, -0.4788150191307068, 0.13972342014312744, -0.06633639335632324, 0.599105715751648, -0.17267657816410065, 0.16366994380950928, -1.0408416986465454, 0.44179221987724304, 0.3935321569442749, -0.1918451189994812, 0.13285206258296967, -0.006926966831088066, 0.25388821959495544, 0.29147428274154663, 0.0017507864395156503, 0.5858699679374695, 0.4307933747768402, -0.043800387531518936, 0.23201489448547363, 0.29894664883613586, 0.41617006063461304, 0.1269982010126114, -0.2657823860645294, -0.05646635964512825]",2,3,-1,2
